nome_curso;modalidade_ensino;ingressantes_2009;ingressantes_2010;ingressantes_2011;ingressantes_2012;ingressantes_2013;ingressantes_2014;ingressantes_2015;ingressantes_2016;ingressantes_2017;ingressantes_2018;concluintes_2009;concluintes_2010;concluintes_2011;concluintes_2012;concluintes_2013;concluintes_2014;concluintes_2015;concluintes_2016;concluintes_2017;concluintes_2018
CIENCIAS EXATAS HABILITACAO INTEGRADA EM FISICA QUIMICA E MATEMATICA - CIENCIAS EXATAS HABILITACCAO INTEGRADA FISICA QUIMICA E MATEMATICA;Presencial;21.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS FARMACEUTICAS;Presencial;464.0;;;;;;;;;;259.0;;;;;;;;;
CIENCIAS FISICAS E BIOMOLECULARES;Presencial;39.0;;;;;;;;;;7.0;;;;;;;;;
CIENCIAS FUNDAMENTAIS PARA A SAUDE;Presencial;5.0;;;;;;;;;;5.0;;;;;;;;;
CIENCIAS GEOAMBIENTAIS;Presencial;30.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS IMOBILIARIAS;Presencial;46.0;;;;;;;;;;62.0;;;;;;;;;
CIENCIAS JURIDICAS;Presencial;539.0;;;;;;;;;;407.0;;;;;;;;;
CIENCIAS JURIDICAS E SOCIAIS;Presencial;1954.0;;;;;;;;;;1086.0;;;;;;;;;
CIENCIAS JURIDICAS E SOCIAIS DIURNO;Presencial;145.0;;;;;;;;;;69.0;;;;;;;;;
CIENCIAS JURIDICAS E SOCIAIS NOTURNO;Presencial;1.0;;;;;;;;;;75.0;;;;;;;;;
CIENCIAS MATEMATICA;Presencial;37.0;;;;;;;;;;57.0;;;;;;;;;
CIENCIAS MATEMATICA E FISICA;Presencial;50.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS MATEMATICAS E DA TERRA;Presencial;109.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS MOLECULARES;Presencial;5.0;;;;;;;;;;7.0;;;;;;;;;
CIENCIAS NATURAIS;Presencial;173.0;;;;;;;;;;64.0;;;;;;;;;
CIENCIAS NATURAIS - BIOLOGIA;Presencial;42.0;;;;;;;;;;4.0;;;;;;;;;
CIENCIAS NATURAIS - CIENCIAS BIOLOGICAS;Presencial;40.0;;;;;;;;;;11.0;;;;;;;;;
CIENCIAS NATURAIS - FISICA;Presencial;137.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS NATURAIS - QUIMICA;Presencial;125.0;;;;;;;;;;39.0;;;;;;;;;
CIENCIAS NATURAIS E MATEMATICA - FISICA;Presencial;19.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS NATURAIS E MATEMATICA - MATEMATICA;Presencial;28.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS NATURAIS E MATEMATICA - QUIMICA;Presencial;31.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS NATURAIS INTENSIVO;Presencial;57.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS POLITICAS;Presencial;151.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS QUIMICA;Presencial;140.0;;;;;;;;;;4.0;;;;;;;;;
CIENCIAS QUIMICA E BIOLOGIA;Presencial;50.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS QUIMICAS E FARMACEUTICAS;Presencial;69.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS RELIGIOSAS;Presencial;37.0;;;;;;;;;;41.0;;;;;;;;;
CIENCIAS RURAIS;Presencial;62.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS SOCIAIS;Presencial;4755.0;;;;;;;;;;1943.0;;;;;;;;;
CIENCIAS SOCIAIS  BACHARELADO;Presencial;20.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS SOCIAIS  BACHARELADO EM CIENCIA POLITICA;Presencial;48.0;;;;;;;;;;0.0;;;;;;;;;
CIENCIAS SOCIAIS  SOCIOLOGIA RURAL;Presencial;80.0;;;;;;;;;;53.0;;;;;;;;;
CIENCIAS SOCIAIS - ANTROPOLOGIA;Presencial;11.0;;;;;;;;;;23.0;;;;;;;;;
CIENCIAS SOCIAIS - BACHARELADO;Presencial;129.0;;;;;;;;;;21.0;;;;;;;;;
CIENCIAS SOCIAIS - BACHARELADO EM CIENCIAS SOCIAIS;Presencial;73.0;;;;;;;;;;10.0;;;;;;;;;
CIENCIAS SOCIAIS - BACHARELADO EM CIENCIAS SOCIAIS ANTROPOLOGIA;Presencial;19.0;;;;;;;;;;27.0;;;;;;;;;
CIENCIAS SOCIAIS - BACHARELADO EM CIENCIAS SOCIAIS GERAL;Presencial;7.0;;;;;;;;;;21.0;;;;;;;;;
CIENCIAS SOCIAIS - BACHARELADO EM CIENCIAS SOCIAIS POLITICA;Presencial;26.0;;;;;;;;;;28.0;;;;;;;;;
CIENCIAS SOCIAIS - BACHARELADO EM CIENCIAS SOCIAIS SOCIOLOGIA;Presencial;39.0;;;;;;;;;;37.0;;;;;;;;;
CIENCIAS SOCIAIS - CIENCIAS SOCIAIS;Presencial;228.0;;;;;;;;;;165.0;;;;;;;;;
CIENCIAS SOCIAIS - LICENCIATURA;Presencial;100.0;;;;;;;;;;27.0;;;;;;;;;
CIENCIAS SOCIAIS - LICENCIATURA EM CIENCIAS SOCIAIS;Presencial;57.0;;;;;;;;;;21.0;;;;;;;;;
CIENCIAS SOCIAIS - LICENCIATURA EM CIENCIAS SOCIAIS GERAL;Presencial;152.0;;;;;;;;;;45.0;;;;;;;;;
CIENCIAS SOCIAIS - SOCIOLOGIA;Presencial;63.0;;;;;;;;;;43.0;;;;;;;;;
CIENCIAS SOCIAIS BACHARELADO;Presencial;39.0;;;;;;;;;;34.0;;;;;;;;;
CIENCIAS SOCIAIS CCSA;Presencial;38.0;;;;;;;;;;10.0;;;;;;;;;
CIENCIAS SOCIAIS CNI;Presencial;10.0;;;;;;;;;;2.0;;;;;;;;;
CIENCIAS SOCIAIS ENFASE EM POLITICA E PRODUCAO CULTURAL;Presencial;73.0;;;;;;;;;;2.0;;;;;;;;;
CIENCIAS SOCIAIS LICENCIATURA;Presencial;80.0;;;;;;;;;;2.0;;;;;;;;;
CIENCIAS SOCIAIS MATUTINO;Presencial;52.0;;;;;;;;;;25.0;;;;;;;;;
CIENCIAS SOCIAIS NATAL;Presencial;111.0;;;;;;;;;;37.0;;;;;;;;;
CIENCIAS SOCIAIS NATAL POLITICA;Presencial;1.0;;;;;;;;;;4.0;;;;;;;;;
CIENCIAS SOCIAIS NOTURNO MARABA;Presencial;34.0;;;;;;;;;;55.0;;;;;;;;;
CIENCIAS TEOLOGICAS;Presencial;115.0;;;;;;;;;;202.0;;;;;;;;;
CINCIA DA COMPUTACAO;Presencial;341.0;;;;;;;;;;0.0;;;;;;;;;
CINEMA;Presencial;105.0;95.0;116.0;79.0;56.0;91.0;85.0;155.0;123.0;101.0;10.0;37.0;23.0;31.0;58.0;40.0;37.0;45.0;50.0;51.0
CINEMA DE ANIMACAO E ARTES DIGITAIS;Presencial;40.0;;;;;;;;;;0.0;;;;;;;;;
CINEMA DE ANIMAÇÃO;Presencial;;132.0;21.0;;32.0;27.0;32.0;29.0;32.0;28.0;;4.0;0.0;;11.0;13.0;3.0;13.0;16.0;16.0
CINEMA DE ANIMAÇÃO E ARTES DIGITAIS;Presencial;;42.0;42.0;51.0;49.0;39.0;40.0;39.0;39.0;39.0;;0.0;0.0;0.0;2.0;23.0;17.0;36.0;32.0;28.0
CINEMA E ANIMACAO;Presencial;36.0;;;;;;;;;;0.0;;;;;;;;;
CINEMA E ANIMAÇÃO;Presencial;;;;;;;;;;55.0;;;;;;;;;;0.0
CINEMA E AUDIOVISUAL;Presencial;191.0;635.0;609.0;948.0;919.0;1134.0;1407.0;1528.0;1671.0;1812.0;0.0;134.0;108.0;143.0;213.0;333.0;291.0;451.0;485.0;594.0
CINEMA E AUDIOVISUAL - CINEMA;Presencial;;199.0;228.0;;;;;;;;;97.0;117.0;;;;;;;
CINEMA E AUDIOVISUAL - CINEMA E VIDEO;Presencial;;12.0;5.0;;;;;;;;;35.0;15.0;;;;;;;
CINEMA E REALIZACAO AUDIOVISUAL;Presencial;34.0;;;;;;;;;;0.0;;;;;;;;;
CINEMA E VIDEO;Presencial;;;;;;58.0;64.0;;;;;;;;;17.0;49.0;;;
CINEMA REBOUCAS;Presencial;82.0;;;;;;;;;;84.0;;;;;;;;;
CINEMA TOM JOBIM;Presencial;110.0;;;;;;;;;;81.0;;;;;;;;;
CIÊNCIA AMBIENTAL;Presencial;;;33.0;47.0;45.0;47.0;41.0;44.0;46.0;56.0;;;0.0;0.0;0.0;3.0;10.0;21.0;20.0;23.0
CIÊNCIA DA COMPUTAÇÃO;Presencial;;19550.0;19504.0;20578.0;20632.0;22241.0;21135.0;21429.0;21564.0;21653.0;;6582.0;6135.0;7139.0;6243.0;5653.0;5193.0;5853.0;5693.0;6083.0
CIÊNCIA DA INFORMAÇÃO;Presencial;;;;;;;;18.0;20.0;41.0;;;;;;;;0.0;0.0;1.0
CIÊNCIA DA RELIGIÃO;Presencial;;;;1.0;27.0;20.0;35.0;38.0;68.0;4.0;;;;0.0;1.0;2.0;1.0;0.0;7.0;10.0
CIÊNCIA DE DADOS E INTELIGÊNCIA ARTIFICIAL;Presencial;;;;;;;;;;20.0;;;;;;;;;;0.0
CIÊNCIA DO ESPORTE;Presencial;;59.0;59.0;60.0;62.0;59.0;63.0;61.0;59.0;65.0;;0.0;0.0;18.0;25.0;41.0;39.0;28.0;29.0;49.0
CIÊNCIA E INOVAÇÃO EM ALIMENTOS;Presencial;;;;;;;;12.0;18.0;2.0;;;;;;;;0.0;0.0;0.0
CIÊNCIA E TECNOLOGIA;Presencial;;1822.0;4364.0;4826.0;4906.0;5626.0;5541.0;5082.0;44.0;39.0;;0.0;644.0;1004.0;1184.0;1407.0;1596.0;1878.0;8.0;9.0
CIÊNCIA E TECNOLOGIA AGROALIMENTAR;Presencial;;136.0;83.0;;;;;;;;;0.0;0.0;;;;;;;
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Presencial;;207.0;259.0;329.0;424.0;414.0;607.0;613.0;615.0;675.0;;25.0;18.0;24.0;76.0;95.0;91.0;99.0;138.0;180.0
CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;Presencial;;40.0;40.0;50.0;37.0;42.0;40.0;78.0;73.0;75.0;;24.0;36.0;18.0;26.0;18.0;10.0;13.0;17.0;22.0
CIÊNCIA ECONÔMICA;Presencial;;1043.0;518.0;608.0;502.0;504.0;503.0;403.0;399.0;419.0;;182.0;136.0;207.0;181.0;181.0;129.0;114.0;197.0;167.0
CIÊNCIA POLÍTICA;Presencial;;124.0;154.0;284.0;258.0;410.0;435.0;418.0;422.0;380.0;;49.0;30.0;79.0;48.0;141.0;155.0;199.0;161.0;225.0
CIÊNCIA POLÍTICA E SOCIOLOGIA - SOCIEDADE, ESTADO E POLÍTICA NA AMÉRICA LATINA;Presencial;;34.0;45.0;46.0;;38.0;39.0;44.0;43.0;38.0;;0.0;0.0;0.0;;16.0;20.0;18.0;10.0;7.0
CIÊNCIAS;Presencial;;500.0;226.0;404.0;404.0;482.0;275.0;364.0;309.0;233.0;;209.0;137.0;273.0;254.0;188.0;154.0;124.0;118.0;78.0
CIÊNCIAS - BIOLOGIA;Presencial;;865.0;212.0;440.0;;;1.0;;;;;189.0;104.0;15.0;;;0.0;;;
CIÊNCIAS - BIOLOGIA E QUÍMICA;Presencial;;247.0;232.0;222.0;210.0;207.0;233.0;228.0;197.0;;;0.0;33.0;58.0;63.0;72.0;80.0;79.0;66.0;
CIÊNCIAS - FÍSICA;Presencial;;352.0;8.0;290.0;;;;;;;;0.0;3.0;0.0;;;;;;
CIÊNCIAS - MATEMÁTICA;Presencial;;698.0;411.0;353.0;;;;;;28.0;;177.0;165.0;0.0;;;;;;1.0
CIÊNCIAS - MATEMÁTICA APLICADA À INFORMÁTICA;Presencial;;9.0;;;;;;;;;;5.0;;;;;;;;
CIÊNCIAS - MATEMÁTICA E FÍSICA;Presencial;;142.0;105.0;97.0;117.0;105.0;119.0;117.0;134.0;125.0;;8.0;16.0;20.0;30.0;18.0;36.0;27.0;27.0;29.0
CIÊNCIAS - QUÍMICA;Presencial;;536.0;81.0;329.0;58.0;28.0;31.0;;1.0;;;29.0;39.0;26.0;34.0;22.0;24.0;;9.0;
CIÊNCIAS - QUÍMICA E BIOLOGIA;Presencial;;;;;;;;;;172.0;;;;;;;;;;72.0
CIÊNCIAS - QUÍMICA/BIOLOGIA;Presencial;;;;;;;;;;39.0;;;;;;;;;;0.0
CIÊNCIAS AERONÁUTICAS;Presencial;;302.0;389.0;755.0;953.0;945.0;920.0;609.0;561.0;685.0;;114.0;178.0;266.0;220.0;292.0;311.0;368.0;331.0;351.0
CIÊNCIAS AERONÁUTICAS - AERONAVES DE ASA FIXA;Presencial;;108.0;91.0;;;;;;;;;35.0;56.0;;;;;;;
CIÊNCIAS AERONÁUTICAS - AERONAVES DE ASAS ROTATIVAS;Presencial;;16.0;;;;;;;;;;5.0;;;;;;;;
CIÊNCIAS AERONÁUTICAS - PILOTO COMERCIAL;Presencial;;44.0;81.0;;;;;;;;;0.0;4.0;;;;;;;
CIÊNCIAS AERONÁUTICAS - PILOTO DE LINHA AÉREA TEÓRICO;Presencial;;2.0;;;;;;;;;;0.0;;;;;;;;
CIÊNCIAS AGRÁRIAS;Presencial;;175.0;285.0;188.0;233.0;368.0;433.0;458.0;226.0;184.0;;49.0;55.0;72.0;79.0;68.0;63.0;77.0;127.0;42.0
CIÊNCIAS AGRÁRIAS E DO AMBIENTE;Presencial;;;38.0;49.0;49.0;28.0;50.0;41.0;49.0;40.0;;;7.0;17.0;17.0;0.0;3.0;4.0;3.0;13.0
CIÊNCIAS AGRÍCOLAS;Presencial;;215.0;202.0;201.0;212.0;217.0;220.0;214.0;198.0;155.0;;48.0;59.0;48.0;37.0;43.0;46.0;49.0;49.0;44.0
CIÊNCIAS AMBIENTAIS;Presencial;;292.0;323.0;368.0;375.0;352.0;367.0;376.0;361.0;369.0;;2.0;8.0;37.0;61.0;70.0;139.0;155.0;141.0;113.0
CIÊNCIAS ATMOSFÉRICAS;Presencial;;30.0;30.0;30.0;30.0;30.0;30.0;57.0;59.0;57.0;;0.0;0.0;0.0;3.0;8.0;6.0;12.0;4.0;19.0
CIÊNCIAS ATUARIAIS;Presencial;;634.0;806.0;762.0;835.0;845.0;855.0;841.0;842.0;847.0;;260.0;203.0;226.0;250.0;193.0;266.0;235.0;262.0;275.0
CIÊNCIAS BIOLÓGICAS;Presencial;;29314.0;31049.0;30926.0;30529.0;30080.0;27861.0;27039.0;27140.0;25678.0;;16504.0;15582.0;15448.0;14409.0;12676.0;14178.0;12306.0;12966.0;11926.0
CIÊNCIAS BIOLÓGICAS  - BIOLOGIA;Presencial;;138.0;58.0;;;;;;;;;63.0;43.0;;;;;;;
CIÊNCIAS BIOLÓGICAS  - BIOLOGIA DO DESENVOLVIMENTO;Presencial;;;1.0;;;;;;;;;;40.0;;;;;;;
CIÊNCIAS BIOLÓGICAS  - BIOLOGIA MARINHA;Presencial;;9.0;21.0;;;;;;;;;13.0;14.0;;;;;;;
CIÊNCIAS BIOLÓGICAS  - CIÊNCIA AMBIENTAL;Presencial;;45.0;10.0;;;;;;;;;33.0;11.0;;;;;;;
CIÊNCIAS BIOLÓGICAS  - CIÊNCIAS AMBIENTAIS;Presencial;;80.0;82.0;;;;;;;;;44.0;39.0;;;;;;;
CIÊNCIAS BIOLÓGICAS  - GESTÃO;Presencial;;11.0;1.0;;;;;;;;;7.0;3.0;;;;;;;
CIÊNCIAS BIOLÓGICAS  - TUTORIAL;Presencial;;4.0;1.0;;;;;;;;;31.0;14.0;;;;;;;
CIÊNCIAS BIOLÓGICAS - BIODIVERSIDADE;Presencial;;;;;;;;;19.0;18.0;;;;;;;;;0.0;0.0
CIÊNCIAS BIOLÓGICAS - BIOLOGIA MARINHA;Presencial;;17.0;16.0;7.0;;5.0;;1.0;24.0;21.0;;15.0;6.0;9.0;;4.0;;9.0;8.0;0.0
CIÊNCIAS BIOLÓGICAS - BIOLOGIA VEGETAL;Presencial;;;;1.0;;3.0;;2.0;3.0;1.0;;;;6.0;;4.0;;7.0;4.0;6.0
CIÊNCIAS BIOLÓGICAS - BIOLOGIA VEGETAL - BIOLOGIA VEGETAL;Presencial;;12.0;5.0;;;;;;;;;10.0;4.0;;;;;;;
CIÊNCIAS BIOLÓGICAS - ECOLOGIA;Presencial;;;;13.0;;2.0;;4.0;1.0;1.0;;;;30.0;;30.0;;24.0;30.0;20.0
CIÊNCIAS BIOLÓGICAS - ECOLOGIA - ECOLOGIA;Presencial;;30.0;39.0;;;;;;;;;34.0;29.0;;;;;;;
CIÊNCIAS BIOLÓGICAS - ECOLOGIA E BIODIVERSIDADE;Presencial;;;44.0;49.0;2.0;48.0;43.0;42.0;37.0;50.0;;;0.0;0.0;0.0;0.0;7.0;12.0;18.0;7.0
CIÊNCIAS BIOLÓGICAS - GENÉTICA;Presencial;;;;3.0;;2.0;;;2.0;;;;;19.0;;10.0;;;24.0;
CIÊNCIAS BIOLÓGICAS - GENÉTICA - GENÉTICA;Presencial;;23.0;29.0;;;;;;;;;14.0;8.0;;;;;;;
CIÊNCIAS BIOLÓGICAS - LICENCIATURA OU BACHARELADO;Presencial;;;;;5.0;11.0;9.0;24.0;21.0;12.0;;;;;0.0;0.0;0.0;10.0;9.0;9.0
CIÊNCIAS BIOLÓGICAS - MODALIDADE MÉDICA;Presencial;;;180.0;119.0;146.0;122.0;135.0;120.0;42.0;61.0;;;139.0;58.0;55.0;102.0;60.0;109.0;63.0;66.0
CIÊNCIAS BIOLÓGICAS - ZOOLOGIA;Presencial;;;;3.0;;1.0;1.0;5.0;4.0;;;;;15.0;;17.0;11.0;15.0;7.0;
CIÊNCIAS BIOLÓGICAS - ZOOLOGIA - ZOOLOGIA;Presencial;;28.0;14.0;;;;;;;;;17.0;17.0;;;;;;;
CIÊNCIAS BIOLÓGICAS - ÊNFASE EM BIOLOGIA AMBIENTAL;Presencial;;;;;;;1.0;;;6.0;;;;;;;0.0;;;1.0
CIÊNCIAS BIOLÓGICAS - ÊNFASE EM BIOLOGIA EVOLUTIVA;Presencial;;;;;;;1.0;;;;;;;;;;0.0;;;
CIÊNCIAS BIOLÓGICAS - ÊNFASE EM BIOLOGIA MOLECULAR E TECNOLÓGICA;Presencial;;;;;;;1.0;;;5.0;;;;;;;0.0;;;0.0
CIÊNCIAS BIOLÓGICAS - ÊNFASE EM CIÊNCIAS AMBIENTAIS;Presencial;;;;;;;79.0;79.0;76.0;80.0;;;;;;;33.0;44.0;43.0;31.0
CIÊNCIAS BIOLÓGICAS E CONSERVAÇÃO;Presencial;;;;;;;;;40.0;40.0;;;;;;;;;0.0;0.0
CIÊNCIAS BIOLÓGICAS: BIOFÍSICA;Presencial;;60.0;54.0;59.0;60.0;61.0;57.0;61.0;59.0;56.0;;3.0;7.0;5.0;13.0;61.0;21.0;33.0;22.0;20.0
CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA;Presencial;;80.0;93.0;91.0;100.0;102.0;100.0;47.0;101.0;100.0;;0.0;0.0;0.0;4.0;21.0;29.0;31.0;58.0;29.0
CIÊNCIAS BIOLÓGICAS: MICROBIOLOGIA E IMUNOLOGIA;Presencial;;47.0;47.0;51.0;51.0;57.0;51.0;49.0;50.0;55.0;;29.0;28.0;27.0;21.0;38.0;9.0;41.0;28.0;27.0
CIÊNCIAS BIOLÓGICAS: MODALIDADE MÉDICA;Presencial;;84.0;93.0;87.0;114.0;92.0;90.0;85.0;87.0;89.0;;31.0;33.0;27.0;38.0;77.0;82.0;75.0;49.0;62.0
CIÊNCIAS BIOMÉDICAS;Presencial;;37.0;39.0;78.0;89.0;85.0;79.0;82.0;88.0;84.0;;24.0;32.0;38.0;31.0;33.0;33.0;75.0;82.0;66.0
CIÊNCIAS BIOMÉDICAS - ÊNFASE EM BIOTECNOLOGIA EM SAÚDE;Presencial;;;;;;;;;1.0;;;;;;;;;;0.0;
CIÊNCIAS COM HABILITAÇÃO EM BIOLOGIA;Presencial;;1.0;;;;;;;;;;37.0;;;;;;;;
CIÊNCIAS CONTÁBEIS;Presencial;;64093.0;72068.0;83938.0;83190.0;86163.0;78291.0;75544.0;76001.0;70331.0;;30543.0;30929.0;31921.0;31914.0;33839.0;38295.0;39123.0;39393.0;37922.0
CIÊNCIAS DA ATIVIDADE FÍSICA;Presencial;;65.0;53.0;58.0;56.0;60.0;;;;;;32.0;41.0;18.0;27.0;31.0;;;;
CIÊNCIAS DA COMPUTAÇÃO;Presencial;;148.0;181.0;575.0;867.0;878.0;886.0;815.0;896.0;940.0;;15.0;88.0;90.0;62.0;55.0;121.0;151.0;176.0;178.0
CIÊNCIAS DA INFORMAÇÃO;Presencial;;53.0;43.0;45.0;;;;;;;;0.0;0.0;0.0;;;;;;
CIÊNCIAS DA INFORMAÇÃO E DA DOCUMENTAÇÃO;Presencial;;40.0;34.0;43.0;27.0;;;;;;;23.0;32.0;28.0;28.0;;;;;
CIÊNCIAS DA INFORMAÇÃO E DA DOCUMENTAÇÃO E BIBLIOTECONOMIA;Presencial;;;;;;45.0;43.0;;;;;;;;;34.0;23.0;;;
CIÊNCIAS DA NATUREZA;Presencial;;522.0;367.0;623.0;541.0;568.0;576.0;574.0;539.0;489.0;;70.0;24.0;21.0;36.0;142.0;147.0;101.0;97.0;105.0
CIÊNCIAS DA NATUREZA - BIOLOGIA;Presencial;;;;;;;;;24.0;71.0;;;;;;;;;0.0;0.0
CIÊNCIAS DA NATUREZA - BIOLOGIA E QUÍMICA;Presencial;;;;;;;;;39.0;39.0;;;;;;;;;7.0;5.0
CIÊNCIAS DA NATUREZA - BIOLOGIA, FÍSICA E QUÍMICA;Presencial;;;31.0;34.0;;33.0;34.0;34.0;52.0;52.0;;;0.0;0.0;;2.0;5.0;1.0;5.0;1.0
CIÊNCIAS DA NATUREZA - QUÍMICA;Presencial;;;34.0;31.0;36.0;28.0;19.0;19.0;18.0;22.0;;;0.0;0.0;1.0;13.0;18.0;8.0;0.0;0.0
CIÊNCIAS DA NATUREZA E MATEMÁTICA;Presencial;;;71.0;57.0;66.0;35.0;;;;;;;0.0;0.0;0.0;0.0;;;;
CIÊNCIAS DA RELIGIÃO;Presencial;;352.0;165.0;107.0;194.0;182.0;191.0;137.0;173.0;213.0;;80.0;71.0;26.0;131.0;74.0;51.0;48.0;49.0;68.0
CIÊNCIAS DA RELIGIÃO - ENSINO RELIGIOSO;Presencial;;;;31.0;;;;;;;;;;0.0;;;;;;
CIÊNCIAS DAS RELIGIÕES;Presencial;;;106.0;53.0;61.0;39.0;71.0;67.0;75.0;78.0;;;0.0;13.0;28.0;0.0;28.0;35.0;13.0;22.0
CIÊNCIAS DE ALIMENTOS;Presencial;;92.0;34.0;46.0;46.0;45.0;40.0;51.0;;;;0.0;0.0;10.0;19.0;13.0;5.0;6.0;;
CIÊNCIAS DE COMPUTAÇÃO;Presencial;;109.0;106.0;101.0;133.0;116.0;92.0;125.0;120.0;116.0;;61.0;73.0;97.0;77.0;79.0;64.0;56.0;56.0;84.0
CIÊNCIAS DE DADOS;Presencial;;;;;;;;;;18.0;;;;;;;;;;0.0
CIÊNCIAS DO CONSUMO;Presencial;;;;;;;;;78.0;80.0;;;;;;;;;0.0;0.0
CIÊNCIAS DO ESTADO;Presencial;;57.0;53.0;59.0;65.0;51.0;54.0;67.0;54.0;52.0;;0.0;0.0;11.0;14.0;17.0;22.0;18.0;24.0;37.0
CIÊNCIAS DOS ALIMENTOS;Presencial;;41.0;39.0;39.0;40.0;42.0;39.0;41.0;36.0;33.0;;41.0;40.0;26.0;18.0;43.0;29.0;35.0;32.0;27.0
CIÊNCIAS DOS MATERIAIS;Presencial;;;;;27.0;58.0;;;;;;;;;0.0;0.0;;;;
CIÊNCIAS E HUMANIDADES;Presencial;;194.0;202.0;416.0;409.0;492.0;438.0;465.0;;;;0.0;0.0;2.0;27.0;62.0;82.0;157.0;;
CIÊNCIAS E HUMANIDADES - ÊNFASE EM GESTÃO SUSTENTÁVEL;Presencial;;;;;;;;1.0;;;;;;;;;;0.0;;
CIÊNCIAS E TECNOLOGIA;Presencial;;3437.0;;;;;;;;;;0.0;;;;;;;;
CIÊNCIAS ECONÔMICAS;Presencial;;12446.0;12824.0;13088.0;12841.0;12986.0;13426.0;13173.0;13430.0;13080.0;;5604.0;5411.0;5347.0;5143.0;5069.0;5319.0;5129.0;5212.0;5273.0
CIÊNCIAS ECONÔMICAS - ECONOMIA, INTEGRAÇÃO E DESENVOLVIMENTO;Presencial;;;44.0;59.0;1.0;39.0;46.0;37.0;48.0;52.0;;;0.0;0.0;0.0;21.0;11.0;19.0;12.0;16.0
CIÊNCIAS EXATAS;Presencial;;365.0;462.0;356.0;361.0;351.0;416.0;69.0;73.0;107.0;;23.0;72.0;45.0;33.0;53.0;60.0;9.0;12.0;57.0
CIÊNCIAS EXATAS - BI/LI;Presencial;;;;;;;;220.0;222.0;187.0;;;;;;;;77.0;68.0;110.0
CIÊNCIAS EXATAS COM HABILITAÇÃO EM FÍSICA;Presencial;;7.0;26.0;1.0;1.0;;2.0;;;1.0;;14.0;4.0;8.0;8.0;;1.0;;;4.0
CIÊNCIAS EXATAS COM HABILITAÇÃO EM MATEMÁTICA;Presencial;;11.0;24.0;2.0;1.0;;;;;;;14.0;7.0;6.0;6.0;;;;;
CIÊNCIAS EXATAS COM HABILITAÇÃO EM QUÍMICA;Presencial;;8.0;31.0;;3.0;;1.0;;;1.0;;10.0;7.0;;3.0;;9.0;;;6.0
CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;;251.0;253.0;321.0;322.0;353.0;323.0;;;;;0.0;13.0;20.0;13.0;32.0;53.0;;;
CIÊNCIAS EXATAS E TECNOLÓGICAS - BI/LI;Presencial;;;;;;;;140.0;325.0;278.0;;;;;;;;37.0;57.0;119.0
CIÊNCIAS FARMACÊUTICAS;Presencial;;379.0;383.0;219.0;299.0;223.0;220.0;171.0;215.0;94.0;;78.0;81.0;72.0;77.0;95.0;96.0;72.0;71.0;50.0
CIÊNCIAS FUNDAMENTAIS PARA A SAÚDE;Presencial;;1.0;7.0;7.0;4.0;8.0;;5.0;4.0;9.0;;5.0;4.0;1.0;2.0;3.0;;3.0;1.0;1.0
CIÊNCIAS FÍSICAS E BIOMOLECULARES;Presencial;;40.0;35.0;38.0;35.0;40.0;35.0;40.0;33.0;36.0;;13.0;16.0;23.0;22.0;12.0;16.0;12.0;21.0;19.0
CIÊNCIAS FÍSICAS E BIOMOLECULARES - ÊNFASE TECNOLÓGICA;Presencial;;;;;;;;;;1.0;;;;;;;;;;2.0
CIÊNCIAS GEOAMBIENTAIS;Presencial;;42.0;31.0;;;;;;;;;0.0;0.0;;;;;;;
CIÊNCIAS HUMANAS;Presencial;;355.0;325.0;408.0;77.0;71.0;62.0;66.0;89.0;95.0;;0.0;0.0;0.0;0.0;0.0;0.0;27.0;23.0;23.0
CIÊNCIAS HUMANAS - FILOSOFIA;Presencial;;;;;11.0;30.0;19.0;20.0;21.0;18.0;;;;;0.0;0.0;1.0;3.0;4.0;4.0
CIÊNCIAS HUMANAS - GEOGRAFIA;Presencial;;;;;33.0;63.0;56.0;54.0;60.0;59.0;;;;;0.0;19.0;13.0;4.0;12.0;11.0
CIÊNCIAS HUMANAS - HISTÓRIA;Presencial;;;;;99.0;100.0;98.0;96.0;99.0;98.0;;;;;0.0;5.0;23.0;26.0;31.0;47.0
CIÊNCIAS HUMANAS - SOCIOLOGIA;Presencial;;;;;180.0;190.0;180.0;169.0;175.0;176.0;;;;;0.0;27.0;35.0;25.0;44.0;58.0
