nome_curso;modalidade_ensino;ingressantes_2009;ingressantes_2010;ingressantes_2011;ingressantes_2012;ingressantes_2013;ingressantes_2014;ingressantes_2015;ingressantes_2016;ingressantes_2017;ingressantes_2018;concluintes_2009;concluintes_2010;concluintes_2011;concluintes_2012;concluintes_2013;concluintes_2014;concluintes_2015;concluintes_2016;concluintes_2017;concluintes_2018
ADMINISTRACAO - ADMINISTRACAO MARKETING;Presencial;4.0;;;;;;;;;;36.0;;;;;;;;;
ADMINISTRACAO - ADMINISTRACAO MERCADOLOGICA;Presencial;113.0;;;;;;;;;;56.0;;;;;;;;;
ADMINISTRACAO - ADMINISTRACAO NEGOCIOS INTERNACIONAIS;Presencial;5.0;;;;;;;;;;86.0;;;;;;;;;
ADMINISTRACAO - ADMINISTRACAO PUBLICA;Presencial;80.0;;;;;;;;;;71.0;;;;;;;;;
ADMINISTRACAO - ADMINSTRACAO COM HABILITACAO EM GESTAO AGRONEGOCIOS;Presencial;1.0;;;;;;;;;;57.0;;;;;;;;;
ADMINISTRACAO - AGRONEGOCIOS;Presencial;89.0;;;;;;;;;;170.0;;;;;;;;;
ADMINISTRACAO - ANALISE DE SISTEMAS;Presencial;92.0;;;;;;;;;;199.0;;;;;;;;;
ADMINISTRACAO - COMERCIO EXTERIOR;Presencial;1211.0;;;;;;;;;;1939.0;;;;;;;;;
ADMINISTRACAO - COMERCIO INTERNACIONAL;Presencial;1.0;;;;;;;;;;11.0;;;;;;;;;
ADMINISTRACAO - EMPREENDEDORISMO;Presencial;2.0;;;;;;;;;;31.0;;;;;;;;;
ADMINISTRACAO - EMPREENDEDORISMO E NEGOCIOS;Presencial;2.0;;;;;;;;;;94.0;;;;;;;;;
ADMINISTRACAO - FINANCAS;Presencial;196.0;;;;;;;;;;353.0;;;;;;;;;
ADMINISTRACAO - GESTAO AMBIENTAL;Presencial;1.0;;;;;;;;;;80.0;;;;;;;;;
ADMINISTRACAO - GESTAO DA INFORMACAO;Presencial;1.0;;;;;;;;;;33.0;;;;;;;;;
ADMINISTRACAO - GESTAO DA PRODUCAO E SERVICOS;Presencial;1.0;;;;;;;;;;72.0;;;;;;;;;
ADMINISTRACAO - GESTAO DA QUALIDADE;Presencial;1.0;;;;;;;;;;90.0;;;;;;;;;
ADMINISTRACAO - GESTAO DAS ORGANIZACOES;Presencial;29.0;;;;;;;;;;6.0;;;;;;;;;
ADMINISTRACAO - GESTAO DE EMPREENDIMENTOS TURISTICOS;Presencial;5.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO - GESTAO DE INFORMACAO;Presencial;1.0;;;;;;;;;;14.0;;;;;;;;;
ADMINISTRACAO - GESTAO DE INFORMATICA;Presencial;64.0;;;;;;;;;;33.0;;;;;;;;;
ADMINISTRACAO - GESTAO DE MARKETING;Presencial;139.0;;;;;;;;;;179.0;;;;;;;;;
ADMINISTRACAO - GESTAO DE NEGOCIOS;Presencial;451.0;;;;;;;;;;996.0;;;;;;;;;
ADMINISTRACAO - GESTAO DE NEGOCIOS INTERNACIONAIS;Presencial;1.0;;;;;;;;;;76.0;;;;;;;;;
ADMINISTRACAO - GESTAO DE PESSOAS;Presencial;2.0;;;;;;;;;;22.0;;;;;;;;;
